Protein	Class
fid|108120497|locus|VBIYerPes7843_4016|___Inorganic_pyrophosphatase_(EC_3.6.1.1)___[Yersinia_pestis_CO92]	1
fid|108121229|locus|VBIYerPes7843_4361|___TIM-barrel_signal_transduction_protein___[Yersinia_pestis_CO92]	1
fid|108121682|locus|VBIYerPes7843_4573|___Xylose_isomerase_(EC_5.3.1.5)___[Yersinia_pestis_CO92]	1
fid|108115791|locus|VBIYerPes7843_1738|___Outer_membrane_protein_C_precursor___[Yersinia_pestis_CO92]	1
fid|108119101|locus|VBIYerPes7843_3345|___Iron-sulfur_cluster_assembly_scaffold_protein_IscU___[Yersinia_pestis_CO92]	1
fid|108113007|locus|VBIYerPes7843_0383|___Ribulose-phosphate_3-epimerase_(EC_5.1.3.1)___[Yersinia_pestis_CO92]	1
fid|108120722|locus|VBIYerPes7843_4126|___Alkanesulfonate_monooxygenase_(EC_1.14.14.5)___[Yersinia_pestis_CO92]	1
fid|108114643|locus|VBIYerPes7843_1184|___Xaa-Pro_aminopeptidase_(EC_3.4.11.9)___[Yersinia_pestis_CO92]	1
fid|108113309|locus|VBIYerPes7843_0533|___Tellurium_resistance_protein_TerD___[Yersinia_pestis_CO92]	1
fid|108113070|locus|VBIYerPes7843_0414|___Taurine-binding_periplasmic_protein_TauA___[Yersinia_pestis_CO92]	1
fid|108115323|locus|VBIYerPes7843_1509|___Catalase_(EC_1.11.1.6)___[Yersinia_pestis_CO92]	1
fid|108113116|locus|VBIYerPes7843_0437|___Bacterioferritin___[Yersinia_pestis_CO92]	1
"fid|108113546|locus|VBIYerPes7843_0649|___Autoinducer_2_(AI-2)_ABC_transport_system,_periplasmic_AI-2_binding_protein_LsrB___[Yersinia_pestis_CO92]"	1
fid|108117783|locus|VBIYerPes7843_2707|___Protein_ydgH_precursor___[Yersinia_pestis_CO92]	1
fid|108120166|locus|VBIYerPes7843_3855|___Superoxide_dismutase_[Cu-Zn]_precursor_(EC_1.15.1.1)___[Yersinia_pestis_CO92]	1
"fid|108115996|locus|VBIYerPes7843_1839|___Galactose/methyl_galactoside_ABC_transport_system,_D-galactose-binding_periplasmic_protein_MglB_(TC_3.A.1.2.3)___[Yersinia_pestis_CO92]"	1
fid|108119938|locus|VBIYerPes7843_3747|___Ribosome_hibernation_protein_YfiA___[Yersinia_pestis_CO92]	1
fid|108113417|locus|VBIYerPes7843_0586|___Heat_shock_protein_60_family_co-chaperone_GroES___[Yersinia_pestis_CO92]	1
fid|108113311|locus|VBIYerPes7843_0534|___Tellurium_resistance_protein_TerD___[Yersinia_pestis_CO92]	1
fid|108121088|locus|VBIYerPes7843_4293|___Porphobilinogen_synthase_(EC_4.2.1.24)___[Yersinia_pestis_CO92]	1
fid|108117831|locus|VBIYerPes7843_2730|___D-arabinitol_4-dehydrogenase_(EC_1.1.1.11)___[Yersinia_pestis_CO92]	1
"fid|108121850|locus|VBIYerPes7843_4654|___Cystine_ABC_transporter,_periplasmic_cystine-binding_protein_FliY___[Yersinia_pestis_CO92]"	1
fid|108113076|locus|VBIYerPes7843_0417|___Alpha-ketoglutarate-dependent_taurine_dioxygenase_(EC_1.14.11.17)___[Yersinia_pestis_CO92]	1
fid|108113544|locus|VBIYerPes7843_0648|___Autoinducer_2_(AI-2)_aldolase_LsrF_(EC_4.2.1.-)___[Yersinia_pestis_CO92]	1
fid|108118504|locus|VBIYerPes7843_3057|___N-acetylglucosamine-6-phosphate_deacetylase_(EC_3.5.1.25)___[Yersinia_pestis_CO92]	1
"fid|108115311|locus|VBIYerPes7843_1503|___Arginine_decarboxylase,_catabolic_(EC_4.1.1.19)___[Yersinia_pestis_CO92]"	1
"fid|108112783|locus|VBIYerPes7843_0274|___LSU_ribosomal_protein_L33p_@_LSU_ribosomal_protein_L33p,_zinc-independent___[Yersinia_pestis_CO92]"	1
fid|108112634|locus|VBIYerPes7843_0204|___murine_toxin___[Yersinia_pestis_CO92]	1
fid|108113542|locus|VBIYerPes7843_0647|___Autoinducer_2_(AI-2)_modifying_protein_LsrG___[Yersinia_pestis_CO92]	1
"fid|108120742|locus|VBIYerPes7843_4136|___Ribose/xylose/arabinose/galactoside_ABC-type_transport_systems,_periplasmic_sugar_binding_protein___[Yersinia_pestis_CO92]"	1
fid|108115497|locus|VBIYerPes7843_1592|___Mannonate_dehydratase_(EC_4.2.1.8)___[Yersinia_pestis_CO92]	1
fid|108118678|locus|VBIYerPes7843_3141|___Pyrrolidone-carboxylate_peptidase_(EC_3.4.19.3)___[Yersinia_pestis_CO92]	1
fid|108114437|locus|VBIYerPes7843_1083|___Carbonic_anhydrase_(EC_4.2.1.1)___[Yersinia_pestis_CO92]	1
fid|108118593|locus|VBIYerPes7843_3100|___Urease_beta_subunit_(EC_3.5.1.5)___[Yersinia_pestis_CO92]	1
fid|108118595|locus|VBIYerPes7843_3101|___Urease_alpha_subunit_(EC_3.5.1.5)___[Yersinia_pestis_CO92]	1
fid|108118591|locus|VBIYerPes7843_3099|___Urease_gamma_subunit_(EC_3.5.1.5)___[Yersinia_pestis_CO92]	1
fid|108118426|locus|VBIYerPes7843_3023|___Cold_shock_protein_CspE___[Yersinia_pestis_CO92]	1
fid|108115541|locus|VBIYerPes7843_1614|___Chaperone_protein_psaB_precursor___[Yersinia_pestis_CO92]	1
fid|108120035|locus|VBIYerPes7843_3791|___Soluble_cytochrome_b562___[Yersinia_pestis_CO92]	1
fid|108121751|locus|VBIYerPes7843_4606|___FIG01219655:_hypothetical_protein___[Yersinia_pestis_CO92]	1
"fid|108119708|locus|VBIYerPes7843_3638|___6,7-dimethyl-8-ribityllumazine_synthase_(EC_2.5.1.78)___[Yersinia_pestis_CO92]"	1
fid|108119004|locus|VBIYerPes7843_3298|___FIG01219968:_hypothetical_protein___[Yersinia_pestis_CO92]	1
fid|108117446|locus|VBIYerPes7843_2543|___NAD-dependent_glyceraldehyde-3-phosphate_dehydrogenase_(EC_1.2.1.12)___[Yersinia_pestis_CO92]	1
